user_id	user_name	time	location	text
1000222650	stuck stateside	Fri Sep 08 01:33:48 +0000 2017	LA	RT @kind_kiwi: so my teacher tried to lighten the mood about the hurricane https://t.co/OpfWnNaBHT
82764661	c?r????n??	Fri Sep 08 01:33:48 +0000 2017	High By The Beach, CA	RT @txflxn: Freak-a-leek? https://t.co/xzm1IhVqmT
1669294142	Ann Mullikin	Fri Sep 08 01:33:48 +0000 2017	 Greater Richmond Area, VA	Harvey and Irma, Married 75 Years, Marvel at the Storms Bearing Their Names https://t.co/HiYNDsNNE8
825836837235200000	Room With a View	Fri Sep 08 01:33:48 +0000 2017		"RT @kurteichenwald: Gee, how...expected.

REVEALED: Alex Jones and Tucker Carlson spread racist fake news about black Harvey ‘looters’ http…"
805937701585375232	layla?	Fri Sep 08 01:33:48 +0000 2017		RT @JoeThe5how: Ehhh I got a Category 5 Hurricane named Irma out of all names that's slowly gonna be making its way up the fucking… 
136912364	Travis	Fri Sep 08 01:33:48 +0000 2017	Miami, FL	RT @ChaseShermanUFC: Before hurricane Irma hits, y'all need to take pics without filters or make up just in case we need to identify anyone.
24725704	Jason Hummel	Fri Sep 08 01:33:48 +0000 2017	Reading, PA	RT @PennStateIFC: With the current devastation in Houston, we are pledging $0.15 for every RT this gets! Please forward this along to… 
64238036	tiff	Fri Sep 08 01:33:48 +0000 2017	803	RT @XANDERVILLA_: ATTENTION SOUTH FLORIDA: in the midst of the upcoming hurricane be advised that hot cheetos are an efficient altern… 
298340480	Saul Montelongo Jr	Fri Sep 08 01:33:48 +0000 2017	Edcouch-Elsa 	RT @troytheblackguy: These storms trynna run a train on America like we some kind of hoe https://t.co/06LeKJyuAM
754565108051816448	Abigail	Fri Sep 08 01:33:48 +0000 2017	Sarasota, FL	RT @moiseschiu: This means that Hurricane Irma is now the most powerful hurricane ever measured, therefore exceeding the definition… 
4839933910	Harold Dunn	Fri Sep 08 01:33:48 +0000 2017	United States	Sound Royalties Pledges $250,000 in Interest-Free Financing to Florida Music Community Ahead of Hurricane Irma https://t.co/usgvwS1l5K
2789462213	BFA	Fri Sep 08 01:33:48 +0000 2017		RT @MichelleObama: The outpouring of support for Houston &amp; communities along the Gulf Coast represents the best of who we are &amp; what t… 
3194913091	Mcmisher	Fri Sep 08 01:33:49 +0000 2017	Troutdale, OR	RT @businessinsider: Our hurricane risk models are dangerously out-of-date — via @techreview https://t.co/9BWLioLGD9 https://t.co/cN4ake6e2J
4496497823	??Mare&Jay??USA	Fri Sep 08 01:33:49 +0000 2017	Florida, USA	RT @thomasbroccoli: Florida - Whenever #HurricaineIrma decides to hit our shores, we won't back down! As I've said, we WILL BEAT this h… 
4136531305	Juvo	Fri Sep 08 01:33:49 +0000 2017	San Francisco, CA	RT @haydenalcalde: great move by our partner @FLOWAntigua  -- good luck to all our customers down there in Irma's path ? https://t.co/RxCo7…
3437563559	alyssa harper	Fri Sep 08 01:33:49 +0000 2017	Benson, NC	RT @heartlle: Dear Florida, I don't know how to say this politely so RUN BITCH! https://t.co/42ViGTviOj
4899784246	carla is spooky?	Fri Sep 08 01:33:49 +0000 2017	shooketh	YOU GUYS I THOUGHT HURRICANE KATIA WAS SPELLED LIKE KATYA AND WAS ABOUT TO LUAGH MY ASS OFF
269753160	Freedom	Fri Sep 08 01:33:49 +0000 2017	Georgia, USA	RT @nytimes: Harvey is 104. Irma is 92. They've been married 75 years. They've only ever seen a hurricane on TV. https://t.co/aLxvCzAEDl
261073678	Arianna ??	Fri Sep 08 01:33:49 +0000 2017	Jacksonville, FL	"I find it very horrible that we’re accepting donations for H. Harvey victims while we prep for a more severe hurricane. 

But then again"
2512802172	????	Fri Sep 08 01:33:49 +0000 2017	Somewhere listening to sade	RT @Cant_Turn_Left: Do what you do best and  finish it off Jose https://t.co/PWDWRCr9aG
581151880	Donna Wheeler	Fri Sep 08 01:33:49 +0000 2017	Lexington, KY	Florida sheriff threatens to check for warrants at hurricane shelters https://t.co/gToGHcdqeC via @HuffPost
862398345045737472	titi	Fri Sep 08 01:33:49 +0000 2017	Miami, FL	RT @hey_jenay: Single image from an editorial shoot in the 80s that ended up on tumblr? No. Just Flamingos riding out hurricane An… 
2215482000	Amparo Edo	Fri Sep 08 01:33:49 +0000 2017	Minnesota	RT @drnoreen: #westnilevirus all over #Houston post #HurricaineHarvey Tips at https://t.co/LMK5wunDRL #Mosquito #DrNoreen… 
864946859957243905	speedy snapper?™	Fri Sep 08 01:33:49 +0000 2017	They/them	RT @_AlexHirsch: It's not too late! Donate NOW to help victims of Harvey &amp; Irma and you can WIN insanely rare GF &amp; R&amp;M prizes!… 
2977680518	Ric	Fri Sep 08 01:33:49 +0000 2017	Kendall-Boca-CypressCreek area	"RT @EthanG0515: Timeline of events:
@SunSentinel fires @hfialkov
Hurricane Harvey destroys parts of Texas
Hurricane Irma heading right for…"
39094368	Greg Wilson	Fri Sep 08 01:33:49 +0000 2017	Brunswick.GA	OMGAWD 20 cents on the $ at most!!!! https://t.co/rnBl7ZZeft
2310469872	kerin.	Fri Sep 08 01:33:49 +0000 2017	America	"Bot race; dac/dacprotest,betsy.
Despite crisis! #Irma #PuertoRico #Miami #Harvey #floods ; why the influence of you? #Icare wtsuragnda?"
2705574943	(((Olivia Kinnear)))	Fri Sep 08 01:33:49 +0000 2017	New Orleans, LA	"RT @elisewho: “I don’t know how they’ve done that, to have a Harvey and Irma” 

Adorable, via @nytimes
https://t.co/4NKvkJno7R"
2340485189	rie	Fri Sep 08 01:33:49 +0000 2017		RT @itsgabsbro: ????? https://t.co/vUmX7Gzf9U
33034609	N French	Fri Sep 08 01:33:49 +0000 2017	Toronto Ont	RT @Report24CA: Justin Trudeau says Canada will ‘stand ready’ to assist Hurricane Irma relief https://t.co/p54RI52aZH https://t.co/q5LFHwwx…
28136603	Juan Maldonado, M.S.	Fri Sep 08 01:33:49 +0000 2017		RT @GAppleComics: Help @greaterhoucf Hurricane relief 100% donated of Ghost Rider comics signed by @IamGabrielLuna @FelipeTweeters :… 
21627578	Nicole  #SPNHarvey	Fri Sep 08 01:33:49 +0000 2017	Norfolk, VA	RT @Lauremari2: @curemecfs @schachin @TransRightsMOVE @MsResistFL @cupcaking3 @historychick29 @Minervasbard @elizabethdawn… 
36918675	Katy (SS) Hoffard	Fri Sep 08 01:33:49 +0000 2017		Barbuda’s beach was like a ‘Caribbean version of Dunkirk,’ one rescuer said - The Washington Post https://t.co/WJAlKEsxrz
842563657	Weather & More	Fri Sep 08 01:33:49 +0000 2017	Palm Beach Gardens, FL	RT @NWSCorpus: Here is a look at Cat 5 Hurricane #Irma, Cat 3 Hurricane #Jose and Cat 1 Hurricane #Katia this evening.  More info:… 
190937471	David Romero Q.	Fri Sep 08 01:33:49 +0000 2017	Honduras	RT @LuisOmarTapia: Estimados amigos en la Florida, vean la magnitud de huracán Irma hoy en día y Andrew del 92. Protejan la familia. B… 
420053134	Maria Quitéria	Fri Sep 08 01:33:49 +0000 2017	USA	RT @Breaking911: JUST IN: Florida Governor orders all public schools, state colleges, state universities &amp; state offices to close ahead of…
2881626239	Alexander Avella III	Fri Sep 08 01:33:49 +0000 2017		Hurricane Irma increasingly a threat to Miami @CNNI https://t.co/w6Ijyqq5JA
841593018	arianna	Fri Sep 08 01:33:49 +0000 2017	Florida, USA	"RT @Codeine_Kobe: Are you really ""305 till you die"" if you evacuate during hurricane"
2850341838	Christ Execs Council	Fri Sep 08 01:33:49 +0000 2017	Ghana	Prayer for those in path of Hurricane https://t.co/PK1EaD4Mhe
